Store,Day of Week,Truck arrival,Total volume
1004,Mon,08:30:00,25
1004,Tue,08:30:00,23
1004,Wed,08:30:00,21
1004,Thu,08:30:00,36
1004,Fri,08:30:00,33
1004,Sat,08:30:00,28
1005,Mon,19:30:00,19
1005,Tue,19:30:00,15
1005,Wed,19:30:00,23
1005,Thu,19:30:00,25
1005,Fri,19:30:00,20
1005,Sat,19:30:00,19
1007,Mon,17:30:00,44
1007,Tue,17:30:00,44
1007,Wed,17:30:00,44
1007,Thu,17:30:00,40
1007,Fri,13:00:00,30
1007,Fri,17:30:00,30
1007,Sat,07:00:00,17
1007,Sat,13:00:00,17
1007,Sat,17:30:00,28
1015,Mon,06:30:00,38
1015,Tue,06:30:00,33
1015,Wed,06:30:00,36
1015,Thu,06:30:00,38
1015,Fri,06:30:00,46
1015,Sat,06:30:00,45
1015,Sat,12:00:00,19
1018,Mon,18:30:00,47
1018,Tue,18:30:00,51
1018,Wed,18:30:00,37
1018,Thu,12:30:00,31
1018,Thu,18:30:00,38
1018,Fri,12:30:00,35
1018,Fri,18:30:00,43
1018,Sat,12:30:00,38
1018,Sat,18:30:00,40
1019,Mon,11:00:00,20
1019,Tue,11:00:00,19
1019,Wed,11:00:00,23
1019,Thu,11:00:00,17
1019,Fri,11:00:00,22
1019,Sat,11:00:00,23
1021,Mon,11:00:00,38
1021,Mon,16:30:00,33
1021,Tue,11:00:00,30
1021,Tue,16:30:00,39
1021,Wed,16:30:00,40
1021,Thu,11:00:00,45
1021,Thu,16:30:00,36
1021,Fri,11:00:00,30
1021,Fri,16:30:00,41
1021,Sat,11:00:00,35
1021,Sat,16:30:00,45
1029,Mon,17:30:00,17
1029,Tue,17:30:00,15
1029,Wed,17:30:00,21
1029,Thu,17:30:00,15
1029,Fri,17:30:00,18
1029,Sat,17:30:00,18
1041,Mon,18:00:00,24
1041,Tue,18:00:00,24
1041,Wed,18:00:00,27
1041,Thu,18:00:00,27
1041,Fri,18:00:00,39
1041,Sat,18:00:00,32
1045,Mon,18:30:00,46
1045,Tue,18:30:00,36
1045,Wed,11:30:00,27
1045,Wed,18:30:00,27
1045,Thu,11:30:00,25
1045,Thu,18:30:00,33
1045,Fri,11:30:00,37
1045,Fri,18:30:00,44
1045,Sat,11:30:00,36
1045,Sat,18:30:00,40
1049,Mon,07:00:00,27
1049,Tue,07:00:00,30
1049,Wed,07:00:00,38
1049,Thu,07:00:00,31
1049,Fri,07:00:00,35
1049,Sat,07:00:00,40
1050,Mon,12:30:00,9
1050,Mon,17:00:00,20
1050,Tue,12:30:00,9
1050,Tue,17:00:00,17
1050,Wed,12:30:00,8
1050,Wed,17:00:00,18
1050,Thu,12:30:00,8
1050,Thu,17:00:00,21
1050,Fri,12:30:00,14
1050,Fri,17:00:00,25
1050,Sat,12:30:00,21
1050,Sat,17:00:00,23
1052,Mon,14:00:00,28
1052,Tue,14:00:00,30
1052,Wed,14:00:00,24
1052,Thu,14:00:00,34
1052,Fri,14:00:00,38
1052,Sat,14:00:00,39
1053,Mon,18:30:00,30
1053,Tue,18:30:00,23
1053,Wed,18:30:00,36
1053,Thu,18:30:00,32
1053,Fri,18:30:00,44
1053,Sat,18:30:00,23
1058,Mon,06:00:00,33
1058,Tue,06:00:00,26
1058,Wed,06:00:00,23
1058,Thu,06:00:00,32
1058,Fri,06:00:00,35
1058,Sat,06:00:00,42
1071,Mon,08:00:00,20
1071,Tue,08:00:00,18
1071,Wed,08:00:00,23
1071,Thu,08:00:00,17
1071,Fri,08:00:00,21
1071,Sat,08:00:00,24
1074,Mon,14:00:00,20
1074,Tue,14:00:00,18
1074,Wed,14:00:00,16
1074,Thu,14:00:00,18
1074,Fri,14:00:00,32
1074,Sat,14:00:00,21
1077,Mon,18:00:00,32
1077,Tue,18:00:00,30
1077,Wed,18:00:00,31
1077,Thu,18:00:00,42
1077,Fri,18:00:00,49
1077,Sat,18:00:00,63
1082,Mon,17:30:00,24
1082,Tue,17:30:00,27
1082,Wed,17:30:00,26
1082,Thu,17:30:00,40
1082,Fri,17:30:00,38
1082,Sat,17:30:00,23
1092,Mon,16:00:00,23
1092,Tue,16:00:00,22
1092,Wed,16:00:00,24
1092,Thu,16:00:00,37
1092,Fri,16:00:00,39
1092,Sat,16:00:00,20
1094,Mon,19:00:00,35
1094,Tue,19:00:00,35
1094,Wed,19:00:00,44
1094,Thu,11:30:00,32
1094,Thu,19:00:00,42
1094,Fri,11:30:00,28
1094,Fri,19:00:00,48
1094,Sat,11:30:00,23
1094,Sat,19:00:00,45
1095,Mon,18:00:00,21
1095,Tue,18:00:00,13
1095,Wed,18:00:00,19
1095,Thu,18:00:00,31
1095,Fri,18:00:00,20
1095,Sat,18:00:00,19
1097,Mon,07:00:00,19
1097,Tue,07:00:00,19
1097,Wed,07:00:00,25
1097,Thu,07:00:00,25
1097,Fri,07:00:00,20
1097,Sat,07:00:00,17
1100,Mon,07:00:00,41
1100,Tue,07:00:00,31
1100,Wed,07:00:00,31
1100,Thu,07:00:00,48
1100,Fri,05:00:00,32
1100,Fri,11:30:00,26
1100,Sat,05:00:00,38
1100,Sat,11:30:00,16
1102,Mon,16:00:00,46
1102,Tue,16:00:00,46
1102,Wed,16:00:00,41
1102,Thu,09:30:00,18
1102,Thu,16:00:00,35
1102,Fri,09:30:00,25
1102,Fri,16:00:00,40
1102,Sat,09:30:00,39
1102,Sat,16:00:00,49
1128,Mon,10:30:00,16
1128,Mon,18:15:00,40
1128,Tue,18:15:00,38
1128,Wed,18:15:00,41
1128,Thu,18:15:00,45
1128,Fri,10:30:00,24
1128,Fri,18:15:00,47
1128,Sat,10:30:00,47
1128,Sat,18:15:00,40
1137,Mon,07:30:00,25
1137,Tue,07:30:00,24
1137,Wed,07:30:00,24
1137,Thu,07:30:00,34
1137,Fri,07:30:00,31
1137,Sat,07:30:00,36
1142,Mon,19:00:00,41
1142,Tue,19:00:00,42
1142,Wed,19:00:00,32
1142,Thu,09:30:00,35
1142,Thu,19:00:00,40
1142,Fri,09:30:00,32
1142,Fri,19:00:00,46
1142,Sat,09:30:00,35
1142,Sat,17:30:00,40
1143,Mon,07:30:00,28
1143,Tue,07:30:00,23
1143,Wed,07:30:00,33
1143,Thu,07:30:00,24
1143,Fri,07:30:00,32
1143,Sat,07:30:00,36
1153,Mon,12:30:00,45
1153,Tue,06:30:00,18
1153,Tue,12:30:00,34
1153,Wed,06:30:00,29
1153,Wed,12:30:00,27
1153,Thu,06:30:00,26
1153,Thu,12:30:00,33
1153,Fri,06:30:00,32
1153,Fri,12:30:00,43
1153,Sat,06:30:00,40
1153,Sat,12:30:00,50
1153,Sat,18:30:00,48
1160,Mon,09:30:00,42
1160,Tue,09:30:00,42
1160,Wed,09:30:00,45
1160,Thu,09:30:00,48
1160,Fri,09:30:00,43
1160,Fri,17:30:00,29
1160,Sat,09:30:00,50
1165,Mon,13:00:00,32
1165,Tue,13:00:00,28
1165,Wed,13:00:00,30
1165,Thu,13:00:00,39
1165,Fri,13:00:00,47
1165,Sat,08:30:00,18
1165,Sat,13:00:00,27
1169,Mon,08:30:00,12
1169,Tue,08:30:00,17
1169,Thu,08:30:00,27
1169,Sat,08:30:00,19
1174,Mon,13:30:00,26
1174,Tue,13:30:00,31
1174,Wed,13:30:00,28
1174,Thu,13:30:00,33
1174,Fri,13:30:00,37
1174,Sat,13:30:00,40
1175,Mon,06:00:00,30
1175,Tue,06:00:00,30
1175,Wed,06:00:00,25
1175,Thu,06:00:00,41
1175,Fri,06:00:00,35
1175,Sat,06:00:00,44
1178,Mon,07:30:00,22
1178,Tue,07:30:00,13
1178,Wed,07:30:00,26
1178,Thu,07:30:00,20
1178,Fri,07:30:00,20
1178,Sat,07:30:00,20
1179,Mon,13:00:00,21
1179,Tue,13:00:00,21
1179,Wed,13:00:00,24
1179,Thu,13:00:00,39
1179,Fri,13:00:00,38
1179,Sat,13:00:00,35
1187,Mon,17:00:00,20
1187,Tue,17:00:00,12
1187,Wed,17:00:00,19
1187,Thu,17:00:00,25
1187,Fri,17:00:00,28
1187,Sat,17:00:00,12
1188,Mon,14:30:00,25
1188,Tue,14:30:00,26
1188,Wed,14:30:00,20
1188,Thu,14:30:00,29
1188,Fri,14:30:00,34
1188,Sat,14:30:00,34
1189,Mon,04:30:00,33
1189,Tue,04:30:00,29
1189,Wed,04:30:00,39
1189,Thu,04:30:00,31
1189,Fri,04:30:00,39
1189,Sat,04:30:00,50
1191,Mon,19:00:00,29
1191,Tue,19:00:00,26
1191,Wed,19:00:00,27
1191,Thu,19:00:00,30
1191,Fri,19:00:00,44
1191,Sat,19:00:00,23
1192,Mon,19:00:00,21
1192,Tue,19:00:00,22
1192,Wed,19:00:00,22
1192,Thu,19:00:00,37
1192,Fri,19:00:00,38
1192,Sat,19:00:00,24
1194,Mon,15:00:00,20
1194,Tue,15:00:00,21
1194,Wed,15:00:00,21
1194,Thu,15:00:00,27
1194,Fri,15:00:00,26
1194,Sat,15:00:00,26
1198,Mon,10:30:00,12
1198,Mon,15:30:00,39
1198,Tue,15:30:00,40
1198,Wed,15:30:00,42
1198,Thu,15:30:00,45
1198,Fri,10:30:00,35
1198,Fri,15:30:00,49
1198,Sat,10:30:00,29
1198,Sat,15:30:00,49
1199,Mon,19:00:00,30
1199,Tue,19:00:00,31
1199,Wed,19:00:00,30
1199,Thu,19:00:00,42
1199,Fri,19:00:00,47
1199,Sat,19:00:00,35
1205,Mon,07:00:00,29
1205,Tue,07:00:00,28
1205,Wed,07:00:00,23
1205,Thu,07:00:00,33
1205,Fri,07:00:00,36
1205,Sat,07:00:00,41
1208,Mon,13:30:00,24
1208,Tue,13:30:00,24
1208,Wed,13:30:00,31
1208,Thu,13:30:00,37
1208,Fri,13:30:00,46
1208,Sat,13:30:00,42
1219,Mon,12:00:00,28
1219,Tue,12:00:00,29
1219,Wed,12:00:00,37
1219,Thu,12:00:00,29
1219,Fri,12:00:00,41
1219,Sat,12:00:00,31
1222,Mon,17:30:00,41
1222,Tue,17:30:00,39
1222,Wed,17:30:00,49
1222,Thu,17:30:00,40
1222,Fri,10:30:00,27
1222,Fri,17:30:00,50
1222,Sat,10:30:00,35
1222,Sat,17:30:00,42
